PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
1,842121,6603008,Inactive,1,,,1.02
2,842122,6602571,Inactive,0,,,-8.34
3,842123,6602616,Inactive,13,,,13.08
4,842124,644371,Inactive,6,,,5.55
5,842125,6603132,Inactive,2,,,1.89
6,842126,2850911,Inactive,0,,,-1.27
7,842127,6603374,Inactive,0,,,-13.09
8,842128,6603127,Inactive,16,,,16.31
9,842129,644380,Inactive,1,,,0.82
10,842130,2900108,Inactive,9,,,9.1
11,842131,6602565,Inactive,5,,,4.64
12,842132,6603080,Inactive,0,,,-5.65
13,842133,644388,Inactive,22,,,22.4
14,842134,644390,Inactive,2,,,2.08
15,842136,644392,Inactive,0,,,0.11
16,842137,644393,Inactive,0,,,-25.57
17,842138,644394,Inactive,3,,,2.95
18,842139,644395,Inactive,0,,,-2.93
19,842140,644396,Inactive,0,,,0.05
20,842141,644397,Inactive,0,,,-2.16
21,842142,5770444,Inactive,5,,,5.12
22,842143,644399,Inactive,0,,,-0.72
23,842145,644401,Inactive,1,,,1.48
24,842146,644402,Inactive,10,,,10.43
25,842147,644403,Inactive,3,,,2.62
26,842148,644404,Inactive,7,,,6.82
27,842149,644405,Inactive,0,,,-4.34
28,842150,644406,Inactive,27,,,26.92
29,842151,644407,Inactive,0,,,0
30,842152,644408,Inactive,14,,,14.22
31,842153,644409,Inactive,0,,,-13.39
32,842154,644410,Inactive,0,,,-15.88
33,842155,644411,Inactive,0,,,-0.14
34,842156,644412,Inactive,0,,,-3.03
35,842157,644413,Inactive,11,,,11.42
36,842159,644415,Inactive,0,,,0
37,842161,644417,Inactive,0,,,-9.07
38,842162,644418,Inactive,12,,,11.7
39,842163,644419,Inactive,0,,,-27.31
40,842164,644420,Inactive,0,,,-4.37
41,842165,644421,Inactive,0,,,-13.91
42,842166,644422,Inactive,0,,,-3.72
43,842167,644423,Inactive,18,,,17.68
44,842168,644424,Inactive,0,,,-71.59
45,842169,644425,Inactive,1,,,0.74
46,842170,644426,Inactive,5,,,4.94
47,842171,644427,Inactive,5,,,5.45
48,842172,644428,Inactive,0,,,0.08
49,842173,644429,Inactive,18,,,18.19
50,842174,644430,Inactive,0,,,-2.25
51,842178,644434,Inactive,5,,,5.45
52,842179,644435,Inactive,0,,,0.25
53,842180,644436,Inactive,0,,,-12.23
54,842181,644437,Inactive,34,,,34.48
55,842182,644438,Inactive,0,,,-9.25
56,842183,644439,Inactive,8,,,8.27
57,842184,644440,Inactive,0,,,0.04
58,842186,644442,Inactive,10,,,9.89
59,842187,644443,Inactive,0,,,-4.55
60,842188,644444,Inactive,5,,,4.57
61,842189,226199,Inactive,0,,,-9.18
62,842190,644445,Inactive,12,,,12.27
63,842191,644446,Inactive,9,,,8.68
64,842192,644447,Inactive,0,,,0.01
65,842193,644448,Inactive,0,,,-0.16
66,842194,644449,Inactive,7,,,7.06
67,842195,644450,Inactive,0,,,0
68,842196,644451,Inactive,3,,,3.38
69,842197,644452,Inactive,6,,,6.3
70,842198,644453,Inactive,0,,,0.4
71,842199,644454,Inactive,0,,,-5.29
72,842200,644455,Inactive,0,,,-21.54
73,842201,644456,Inactive,0,,,-3.69
74,842202,644457,Inactive,0,,,-5.54
75,842203,644458,Inactive,42,,,41.86
76,842205,644460,Inactive,27,,,27.39
77,842207,54690395,Inactive,0,,,-1.42
78,842208,644463,Inactive,0,,,-1.53
79,842209,644464,Inactive,8,,,8.42
80,842210,644465,Inactive,0,,,-10.07
81,842211,644466,Inactive,0,,,-25.91
82,842213,644468,Inactive,10,,,10.45
83,842214,644469,Inactive,27,,,27.02
84,842216,644471,Inactive,8,,,8.12
85,842217,644472,Inactive,0,,,-1.83
86,842218,644473,Inactive,2,,,1.79
87,842219,644474,Inactive,0,,,0.17
88,842220,644475,Inactive,6,,,5.69
89,842221,644476,Inactive,5,,,4.72
90,842222,644477,Inactive,4,,,4.22
91,842223,644478,Inactive,0,,,-14.35
92,842224,644479,Inactive,4,,,3.67
93,842225,644480,Inactive,3,,,2.73
94,842226,644481,Inactive,9,,,8.76
95,842228,644483,Inactive,2,,,2.28
96,842229,644484,Inactive,0,,,-8.49
97,842230,644485,Inactive,0,,,-23.08
98,842231,644486,Inactive,3,,,3.18
99,842232,644487,Inactive,0,,,-2.65
100,842233,6603665,Inactive,0,,,-4.43
101,842235,2840005,Inactive,0,,,-1.72
102,842237,644496,Inactive,32,,,31.52
103,842238,6602638,Inactive,18,,,18.49
104,842240,644501,Inactive,12,,,12.11
105,842241,644502,Inactive,0,,,-16.23
106,842242,233401,Inactive,14,,,14.32
107,842243,644503,Inactive,6,,,6.32
108,842244,644504,Inactive,5,,,5.2
109,842246,644506,Inactive,4,,,3.94
110,842247,644507,Inactive,0,,,-2.41
111,842248,644508,Inactive,6,,,5.97
112,842249,644509,Inactive,0,,,-0.53
113,842250,644510,Inactive,15,,,15.18
114,842251,644511,Inactive,0,,,-7.32
115,842252,644512,Inactive,23,,,22.82
116,842253,644513,Inactive,0,,,-0.69
117,842254,644514,Inactive,0,,,-4.48
118,842255,644515,Inactive,0,,,-1.03
119,842256,644516,Inactive,9,,,8.97
120,842257,42023,Inactive,0,,,-12.15
121,842258,644517,Inactive,0,,,-11.79
122,842259,54679534,Inactive,4,,,4.36
123,842260,644519,Inactive,0,,,-7.59
124,842261,644520,Inactive,0,,,-2.3
125,842262,644521,Inactive,4,,,4.41
126,842263,644522,Inactive,5,,,5.37
127,842264,644523,Inactive,5,,,4.91
128,842265,644524,Inactive,16,,,16.4
129,842266,644525,Inactive,2,,,1.66
130,842267,644526,Inactive,5,,,4.59
131,842268,644527,Inactive,17,,,17.04
132,842269,644528,Inactive,1,,,1.33
133,842270,644529,Inactive,8,,,8.01
134,842271,644530,Inactive,0,,,-4.99
135,842272,644531,Inactive,3,,,2.6
136,842274,644533,Inactive,23,,,23.23
137,842275,644534,Inactive,7,,,7.14
138,842276,644535,Inactive,4,,,4.45
139,842277,5295096,Inactive,2,,,2.2
140,842278,644537,Inactive,1,,,1.21
141,842279,644538,Inactive,12,,,12.4
142,842280,644539,Inactive,8,,,8.11
143,842281,644540,Inactive,0,,,-1.47
144,842283,644542,Inactive,5,,,4.95
145,842284,644543,Inactive,0,,,-3.69
146,842285,644544,Inactive,0,,,-2.05
147,842286,644545,Inactive,0,,,-0.89
148,842287,644546,Inactive,10,,,9.97
149,842288,644547,Inactive,0,,,-2.11
150,842289,644548,Inactive,0,,,-11.38
151,842290,644549,Inactive,6,,,5.56
152,842291,644550,Inactive,4,,,4.23
153,842292,644551,Inactive,4,,,3.96
154,842293,644552,Inactive,0,,,-3.03
155,842294,644553,Inactive,15,,,14.78
156,842295,644554,Inactive,0,,,-1.48
157,842296,644555,Inactive,0,,,-4.83
158,842298,644557,Inactive,5,,,5.14
159,842299,644558,Inactive,5,,,4.76
160,842300,644559,Inactive,2,,,2.23
161,842301,644560,Inactive,16,,,15.56
